feature,correlation
needs_traing_has_experience,0.022733406046784907
requires_job_training,0.01643122385598904
wage_per_week_log,0.007666559293746845
wage_per_hour_log,0.00766655929374684
wage_per_month_log,0.007666559293746838
annual_wage_log,0.007666559293746837
wage_vs_region_log,0.007355229982741847
region_median_wage,0.005132689885652911
region_of_employment,0.004165790949054278
yr_of_estab,0.003180659166109514
education_of_employee,0.0030369986322362707
age_establishment_log,0.003018333041590547
continent,0.0028721066404279825
has_job_experience,0.002782439973533497
needs_traing_no_experience,0.0018021372125781284
full_time_position,0.0015324663911549597
no_of_employees,0.0014427164310505628
